linha;serie;clube_id;jogador_chave;clube;clube_curto;jogador;posicao;setor;forca;idade;valor_brl;pe;numero;nacionalidade;moral;energia;homonimo;no_patch;salario_semanal
73;A;10010;10010|iago;Tricolor Baiano;Tricolor Baiano;Emerson Bezerra;LAE;DEF;74;30;42380000;L;25;Brasil;70;100;;editado;300000
74;A;10010;10010|kanu;Tricolor Baiano;Tricolor Baiano;Matheus Teixeira;ZAG;DEF;73;19;38880000;R;4;Brasil;70;100;;editado;280000
75;A;10010;10010|michelaraujo;Tricolor Baiano;Tricolor Baiano;Lucas Siqueira;PD;ATT;71;26;37800000;L;15;Brasil;70;100;;editado;240000
76;A;10010;10010|mateosanabria;Tricolor Baiano;Tricolor Baiano;Anderson Gomes;PE;ATT;70;31;28700000;R;23;Brasil;70;100;;editado;220000
77;A;10010;10010|ronaldo;Tricolor Baiano;Tricolor Baiano;Fernando Monteiro;GOL;GK;70;26;34360000;R;1;Brasil;70;100;;editado;220000
78;A;10010;10010|romangomez;Tricolor Baiano;Tricolor Baiano;Robinho Monteiro;LAD;DEF;68;24;29880000;R;31;Brasil;70;100;;editado;202000
79;A;10010;10010|davidduarte;Tricolor Baiano;Tricolor Baiano;Leleco;ZAG;DEF;68;28;30180000;R;33;Brasil;70;100;;editado;202000
80;A;10010;10010|ademir;Tricolor Baiano;Tricolor Baiano;Alan Nascimento;PD;ATT;66;24;26660000;L;7;Brasil;70;100;;editado;184000
81;A;10010;10010|willianjose;Tricolor Baiano;Tricolor Baiano;Rafael Almeida;CA;ATT;66;21;25120000;R;12;Brasil;70;100;;editado;184000
82;A;10010;10010|evertonribeiro;Tricolor Baiano;Tricolor Baiano;Valdir Bezerra;MEI;MID;65;28;25310000;L;10;Brasil;70;100;;editado;175000
83;A;10010;10010|marcomoreno;Tricolor Baiano;Tricolor Baiano;Nathinho;ZAG;DEF;64;21;22090000;R;3;Brasil;70;100;;editado;166000
84;A;10010;10010|luizgustavo;Tricolor Baiano;Tricolor Baiano;Maicon Tavares;ZAG;DEF;61;33;14380000;L;43;Brasil;70;100;;editado;139000
85;A;10010;10010|marcosvictor;Tricolor Baiano;Tricolor Baiano;Wagner Dias;ZAG;DEF;59;27;17100000;R;44;Brasil;70;100;;editado;124800
86;A;10010;10010|zeguilherme;Tricolor Baiano;Tricolor Baiano;Diego Vieira;LAE;DEF;59;30;14790000;L;66;Brasil;70;100;;editado;124800
87;A;10010;10010|everaldo;Tricolor Baiano;Tricolor Baiano;Alex Cavalcanti;CA;ATT;58;32;12560000;R;27;Brasil;70;100;;editado;119600
88;A;10010;10010|rogergabriel;Tricolor Baiano;Tricolor Baiano;Matheus Souza;MEI;MID;57;20;13350000;B;80;Brasil;70;100;;editado;114400
89;A;10010;10010|fredigomes;Tricolor Baiano;Tricolor Baiano;Pedrão;ZAG;DEF;55;28;12890000;L;83;Brasil;70;100;;editado;104000
90;A;10010;10010|victor;Tricolor Baiano;Tricolor Baiano;Leandro Xavier;GOL;GK;54;20;11000000;R;61;Brasil;70;100;;editado;98800
91;A;537;537|danilo;Alvinegro Carioca;Alvinegro Carioca;Eduardo Costa;MC;MID;89;19;121350000;L;8;Brasil;70;100;;editado;762000
92;A;537;537|alvaromontoro;Alvinegro Carioca;Alvinegro Carioca;Marcos Pereira;PE;ATT;81;25;75160000;R;10;Brasil;70;100;;editado;458000
93;A;537;537|vitinho;Alvinegro Carioca;Alvinegro Carioca;Evertinho;LAD;DEF;80;25;67450000;R;2;Brasil;70;100;;editado;420000
94;A;537;537|cristianmedina;Alvinegro Carioca;Alvinegro Carioca;Danilo Bezerra;MC;MID;80;25;67450000;R;6;Brasil;70;100;;editado;420000
95;A;537;537|arthurcabral;Alvinegro Carioca;Alvinegro Carioca;Pedro Correia;CA;ATT;80;23;64910000;R;19;Brasil;70;100;;editado;420000
96;A;537;537|matheusmartins;Alvinegro Carioca;Alvinegro Carioca;Gabriel Araújo;PE;ATT;77;29;54140000;R;11;Brasil;70;100;;editado;360000
97;A;537;537|santiagorodriguez;Alvinegro Carioca;Alvinegro Carioca;Kaique Ribeiro;MEI;MID;77;19;50850000;R;23;Brasil;70;100;;editado;360000
98;A;537;537|nahuelferraresi;Alvinegro Carioca;Alvinegro Carioca;Robson Monteiro;ZAG;DEF;75;22;47730000;R;5;Brasil;70;100;;editado;320000
99;A;537;537|nathanfernandes;Alvinegro Carioca;Alvinegro Carioca;Márcio Barbosa;PD;ATT;75;32;40690000;R;16;Brasil;70;100;;editado;320000
100;A;537;537|juniorsantos;Alvinegro Carioca;Alvinegro Carioca;Duguinho;PD;ATT;73;28;43450000;R;17;Brasil;70;100;;editado;280000
101;A;537;537|newton;Alvinegro Carioca;Alvinegro Carioca;Márcio Correia;VOL;MID;73;32;35260000;R;28;Brasil;70;100;;editado;280000
102;A;537;537|alextelles;Alvinegro Carioca;Alvinegro Carioca;Denilson Freitas;LAE;DEF;72;23;38950000;L;13;Brasil;70;100;;editado;260000
103;A;537;537|leolinck;Alvinegro Carioca;Alvinegro Carioca;Fernando Batista;GOL;GK;71;23;35700000;R;24;Brasil;70;100;;editado;240000
104;A;537;537|patrickdepaula;Alvinegro Carioca;Alvinegro Carioca;Paulo Souza;VOL;MID;71;20;33600000;L;12;Brasil;70;100;;editado;240000
105;A;537;537|jordanbarrera;Alvinegro Carioca;Alvinegro Carioca;Paulo Peixoto;MEI;MID;71;26;37800000;R;14;Brasil;70;100;;editado;240000
106;A;537;537|kadirbarria;Alvinegro Carioca;Alvinegro Carioca;Lucas Almeida;CA;ATT;70;31;28700000;R;37;Brasil;70;100;;editado;220000
107;A;537;537|matheusnascimento;Alvinegro Carioca;Alvinegro Carioca;Rafael Santos;CA;ATT;70;25;33730000;R;38;Brasil;70;100;;editado;220000
108;A;537;537|mateoponte;Alvinegro Carioca;Alvinegro Carioca;Robinho Pinto;LAD;DEF;70;28;33420000;R;4;Brasil;70;100;;editado;220000
109;A;537;537|kaio;Alvinegro Carioca;Alvinegro Carioca;Tiago Teixeira;ZAG;DEF;69;23;30880000;R;31;Brasil;70;100;;editado;211000
110;A;537;537|diegohernandez;Alvinegro Carioca;Alvinegro Carioca;Ricardo Batista;PE;ATT;68;22;28730000;L;30;Brasil;70;100;;editado;202000
111;A;537;537|eliasmanoel;Alvinegro Carioca;Alvinegro Carioca;Wallacinho;CA;ATT;68;29;28760000;R;13;Brasil;70;100;;editado;202000
112;A;537;537|lucasvillalba;Alvinegro Carioca;Alvinegro Carioca;Kaique Freitas;PD;ATT;68;22;28730000;R;77;Brasil;70;100;;editado;202000
113;A;537;537|joaquincorrea;Alvinegro Carioca;Alvinegro Carioca;Sebastião Araújo;SA;ATT;68;23;29300000;R;30;Brasil;70;100;;editado;202000
114;A;537;537|wallacedavi;Alvinegro Carioca;Alvinegro Carioca;Carlos Ribeiro;VOL;MID;65;28;25310000;R;55;Brasil;70;100;;editado;175000
115;A;537;537|allan;Alvinegro Carioca;Alvinegro Carioca;Anderson Peixoto;VOL;MID;65;29;24120000;R;25;Brasil;70;100;;editado;175000
116;A;537;537|bastos;Alvinegro Carioca;Alvinegro Carioca;Júlio Andrade;ZAG;DEF;61;30;17040000;R;15;Brasil;70;100;;editado;139000
117;A;537;537|raul;Alvinegro Carioca;Alvinegro Carioca;Bruno Vieira;GOL;GK;59;21;15230000;R;1;Brasil;70;100;;editado;124800
118;A;537;537|cristhianloor;Alvinegro Carioca;Alvinegro Carioca;Antônio Bezerra;GOL;GK;58;19;13840000;R;40;Brasil;70;100;;editado;119600
119;A;537;537|anthony;Alvinegro Carioca;Alvinegro Carioca;Gabriel Ferreira;ZAG;DEF;57;30;13230000;L;26;Brasil;70;100;;editado;114400
120;A;537;537|huguinho;Alvinegro Carioca;Alvinegro Carioca;André Nascimento;VOL;MID;57;21;13630000;R;75;Brasil;70;100;;editado;114400
121;A;8793;8793|juninhocapixaba;Bragança;Bragança;Antônio Freitas;LAE;DEF;79;20;58040000;L;29;Brasil;70;100;;editado;400000
122;A;8793;8793|isidropitta;Bragança;Bragança;Douglas Nunes;CA;ATT;79;29;60520000;R;9;Brasil;70;100;;editado;400000
123;A;8793;8793|lucasbarbosa;Bragança;Bragança;Adriano Silva;PD;ATT;77;19;50850000;L;21;Brasil;70;100;;editado;360000
124;A;8793;8793|rodriguinho;Bragança;Bragança;Marcos Xavier;MEI;MID;77;26;58420000;R;20;Brasil;70;100;;editado;360000
125;A;8793;8793|fabinho;Bragança;Bragança;Vinícius Vieira;VOL;MID;76;29;50960000;R;5;Brasil;70;100;;editado;340000
126;A;8793;8793|ignaciososa;Bragança;Bragança;Pedro Monteiro;MC;MID;76;34;38360000;R;15;Brasil;70;100;;editado;340000
127;A;8793;8793|cleiton;Bragança;Bragança;Paulo Almeida;GOL;GK;76;23;51930000;R;1;Brasil;70;100;;editado;340000
128;A;8793;8793|gustavomarques;Bragança;Bragança;Bruno Teixeira;ZAG;DEF;76;32;43400000;R;4;Brasil;70;100;;editado;340000
129;A;8793;8793|vinicinho;Bragança;Bragança;Sebastião Dias;PE;ATT;74;29;44590000;R;17;Brasil;70;100;;editado;300000
130;A;8793;8793|guzmanrodriguez;Bragança;Bragança;Ricardo Pereira;ZAG;DEF;74;25;47220000;R;2;Brasil;70;100;;editado;300000
131;A;8793;8793|pedrohenrique;Bragança;Bragança;Hugo Batista;ZAG;DEF;74;29;44590000;R;14;Brasil;70;100;;editado;300000
132;A;8793;8793|agustinsantanna;Bragança;Bragança;Wagner Melo;LAD;DEF;74;31;40180000;R;23;Brasil;70;100;;editado;300000
133;A;8793;8793|gustavoneves;Bragança;Bragança;Nathan Nunes;MC;MID;74;34;33560000;R;22;Brasil;70;100;;editado;300000
134;A;8793;8793|ericramires;Bragança;Bragança;Anderson Dias;MC;MID;74;19;41870000;R;7;Brasil;70;100;;editado;300000
135;A;8793;8793|thiagoborbas;Bragança;Bragança;Otávio Teixeira;CA;ATT;74;34;33560000;R;41;Brasil;70;100;;editado;300000
136;A;8793;8793|henrymosquera;Bragança;Bragança;Jean Pereira;PE;ATT;74;28;46800000;R;30;Brasil;70;100;;editado;300000
137;A;8793;8793|vanderlan;Bragança;Bragança;Chiquinho;LAE;DEF;73;27;45500000;L;12;Brasil;70;100;;editado;280000
138;A;8793;8793|joseandreshurtado;Bragança;Bragança;Fábio Rocha;LAD;DEF;73;31;37310000;R;34;Brasil;70;100;;editado;280000
139;A;8793;8793|alix;Bragança;Bragança;Jonathan Oliveira;ZAG;DEF;73;31;37310000;R;4;Brasil;70;100;;editado;280000
140;A;8793;8793|joseherrera;Bragança;Bragança;Marcos Oliveira;PD;ATT;71;21;34300000;L;32;Brasil;70;100;;editado;240000
141;A;8793;8793|fernando;Bragança;Bragança;Bruno Nunes;CA;ATT;68;22;28730000;R;11;Brasil;70;100;;editado;202000
142;A;8793;8793|praxedes;Bragança;Bragança;Jonathan Freitas;MC;MID;66;20;24610000;L;25;Brasil;70;100;;editado;184000
143;A;8793;8793|ryanaugusto;Bragança;Bragança;Samuel Siqueira;LAD;DEF;65;26;26020000;R;52;Brasil;70;100;;editado;175000
144;A;8793;8793|ignaciolaquintana;Bragança;Bragança;Antônio Dias;PD;ATT;65;29;24120000;R;29;Brasil;70;100;;editado;175000
145;A;8793;8793|matheusfernandes;Bragança;Bragança;Denilson Bezerra;VOL;MID;65;19;22650000;R;35;Brasil;70;100;;editado;175000
146;A;8793;8793|bruninho;Bragança;Bragança;Marcos Rodrigues;MEI;MID;65;19;22650000;R;21;Brasil;70;100;;editado;175000
147;A;8793;8793|gabriel;Bragança;Bragança;Wagner Machado;VOL;MID;64;24;23450000;R;6;Brasil;70;100;;editado;166000
148;A;8793;8793|tiagovolpi;Bragança;Bragança;Emerson Cardoso;GOL;GK;64;33;18100000;R;18;Brasil;70;100;;editado;166000
149;A;8793;8793|eduardosasha;Bragança;Bragança;Denilson Farias;CA;ATT;63;21;20580000;R;8;Brasil;70;100;;editado;157000
150;A;8793;8793|eduardo;Bragança;Bragança;Cacá;ZAG;DEF;63;26;22680000;R;3;Brasil;70;100;;editado;157000
151;A;17776;17776|carvalheira;Chapecó FC;Chapecó FC;Igor Xavier;VOL;MID;71;31;31570000;L;99;Brasil;70;100;;editado;240000
152;A;17776;17776|camilo;Chapecó FC;Chapecó FC;Sebastião Gomes;VOL;MID;70;20;30550000;R;27;Brasil;70;100;;editado;220000
153;A;17776;17776|doma;Chapecó FC;Chapecó FC;Renato Guimarães;ZAG;DEF;66;33;20590000;R;3;Brasil;70;100;;editado;184000
154;A;17776;17776|italovargas;Chapecó FC;Chapecó FC;Anderson Freitas;PE;ATT;65;30;22920000;R;77;Brasil;70;100;;editado;175000
155;A;17776;17776|robertsantos;Chapecó FC;Chapecó FC;José Correia;MEI;MID;65;27;26500000;L;8;Brasil;70;100;;editado;175000
156;A;17776;17776|joaovitor;Chapecó FC;Chapecó FC;Ricardo Martins;MC;MID;64;31;20340000;R;5;Brasil;70;100;;editado;166000
157;A;17776;17776|enio;Chapecó FC;Chapecó FC;Antônio Andrade;PE;ATT;63;22;21000000;R;97;Brasil;70;100;;editado;157000
158;A;17776;17776|higormeritao;Chapecó FC;Chapecó FC;Danilo Martins;VOL;MID;63;27;23100000;L;22;Brasil;70;100;;editado;157000
159;A;17776;17776|mauriciogarcez;Chapecó FC;Chapecó FC;Zezinho;PE;ATT;63;29;21020000;R;31;Brasil;70;100;;editado;157000
160;A;17776;17776|victorcaetano;Chapecó FC;Chapecó FC;Diego Silva;ZAG;DEF;63;32;17900000;R;25;Brasil;70;100;;editado;157000
161;A;17776;17776|joaopaulo;Chapecó FC;Chapecó FC;Leandro Dias;ZAG;DEF;63;33;16860000;L;4;Brasil;70;100;;editado;157000
162;A;17776;17776|marcinho;Chapecó FC;Chapecó FC;Renato Ribeiro;PD;ATT;62;31;17550000;R;7;Brasil;70;100;;editado;148000
163;A;17776;17776|max;Chapecó FC;Chapecó FC;Vagner Silva;MEI;MID;61;22;17910000;L;35;Brasil;70;100;;editado;139000
164;A;17776;17776|mancha;Chapecó FC;Chapecó FC;Márcio Dias;LAE;DEF;60;22;16360000;L;6;Brasil;70;100;;editado;130000
165;A;17776;17776|brunomatias;Chapecó FC;Chapecó FC;Marcos Siqueira;MC;MID;60;27;18000000;R;16;Brasil;70;100;;editado;130000
166;A;17776;17776|anderson;Chapecó FC;Chapecó FC;Raimundo Vieira;GOL;GK;59;33;12480000;L;98;Brasil;70;100;;editado;124800
167;A;17776;17776|kevinramirez;Chapecó FC;Chapecó FC;Otávio Rocha;PE;ATT;59;26;16790000;L;94;Brasil;70;100;;editado;124800
168;A;17776;17776|brunoleonardo;Chapecó FC;Chapecó FC;Denilson Costa;ZAG;DEF;59;28;16330000;R;33;Brasil;70;100;;editado;124800
169;A;17776;17776|viniciusbalieiro;Chapecó FC;Chapecó FC;Emerson Pinto;VOL;MID;59;31;14020000;R;17;Brasil;70;100;;editado;124800
170;A;17776;17776|marcosvinicius;Chapecó FC;Chapecó FC;Alex Correia;LAD;DEF;59;20;14920000;R;2;Brasil;70;100;;editado;124800
171;A;17776;17776|netopessoa;Chapecó FC;Chapecó FC;Elias Monteiro;CA;ATT;58;24;15320000;L;18;Brasil;70;100;;editado;119600
172;A;17776;17776|kauanfaria;Chapecó FC;Chapecó FC;Anderson Araújo;ZAG;DEF;58;26;15910000;R;21;Brasil;70;100;;editado;119600
173;A;17776;17776|joaobom;Chapecó FC;Chapecó FC;Vitão;CA;ATT;58;33;11830000;R;40;Brasil;70;100;;editado;119600
174;A;17776;17776|everton;Chapecó FC;Chapecó FC;André Nunes;LAD;DEF;57;29;13920000;R;26;Brasil;70;100;;editado;114400
175;A;17776;17776|brunopacheco;Chapecó FC;Chapecó FC;Tiago Gomes;LAE;DEF;55;28;12890000;L;91;Brasil;70;100;;editado;104000
176;A;17776;17776|rafaelthyere;Chapecó FC;Chapecó FC;Douglas Machado;ZAG;DEF;55;28;12890000;R;15;Brasil;70;100;;editado;104000
177;A;17776;17776|rubens;Chapecó FC;Chapecó FC;Emerson Araújo;PD;ATT;55;33;9860000;L;70;Brasil;70;100;;editado;104000
178;A;17776;17776|matheusaurelio;Chapecó FC;Chapecó FC;Jean Dias;GOL;GK;55;25;13010000;R;30;Brasil;70;100;;editado;104000
